"userID" "itemID" "r1" "r2" "r3" "r4" "r5"
"75" "10" "2064" 0 0 1 0 0
"86" "13" "583" 0 0 0 1 0
"143" "20" "1597" 0 0 1 0 0
"148" "22" "139" 0 0 0 1 0
"162" "22" "762" 0 0 1 0 0
"170" "22" "1827" 0 0 0 0 1
"183" "24" "53" 0 0 1 0 0
"197" "25" "1189" 0 0 0 1 0
"262" "31" "1097" 0 0 1 0 0
"305" "32" "1881" 0 0 1 0 0
"308" "32" "1919" 0 0 1 0 0
"324" "33" "401" 0 1 0 0 0
"348" "33" "987" 0 1 0 0 0
"371" "33" "1668" 0 0 1 0 0
"400" "34" "2052" 1 0 0 0 0
"405" "35" "150" 0 0 1 0 0
"410" "35" "313" 0 1 0 0 0
"416" "35" "676" 0 0 0 0 1
"437" "35" "1880" 1 0 0 0 0
"439" "35" "1920" 0 1 0 0 0
"473" "36" "1323" 0 0 0 1 0
"554" "38" "119" 0 0 1 0 0
"562" "38" "718" 0 0 0 0 1
"576" "39" "182" 0 0 0 0 1
"608" "41" "150" 0 0 0 0 1
"637" "41" "1750" 0 0 0 1 0
"675" "42" "2084" 0 0 0 1 0
"740" "44" "139" 0 0 1 0 0
"780" "44" "1537" 0 0 0 0 1
"796" "45" "260" 0 0 0 1 0
"807" "45" "687" 0 0 1 0 0
"808" "45" "702" 0 0 0 1 0
"879" "46" "2019" 0 0 0 1 0
"884" "47" "126" 0 0 0 0 1
"900" "47" "964" 0 0 0 1 0
"969" "49" "147" 0 0 0 0 1
"971" "49" "217" 0 0 1 0 0
"983" "49" "897" 0 0 1 0 0
"996" "49" "1554" 0 1 0 0 0
"997" "49" "1687" 0 0 1 0 0
"1015" "50" "304" 0 0 0 1 0
"1048" "50" "1593" 1 0 0 0 0
"1067" "51" "67" 0 0 0 1 0
"1076" "51" "307" 0 0 0 1 0
"1109" "51" "1502" 0 0 0 0 1
"1113" "51" "1633" 0 0 0 0 1
"1133" "52" "426" 0 0 1 0 0
"1146" "53" "27" 0 0 1 0 0
"1235" "55" "1591" 0 0 0 1 0
"1239" "55" "1696" 0 0 0 0 1
"1242" "55" "1782" 0 0 0 0 1
"1258" "56" "230" 0 1 0 0 0
"1286" "57" "284" 0 0 0 1 0
"1306" "58" "269" 0 0 0 0 1
"1336" "59" "672" 0 0 1 0 0
"1358" "59" "1169" 0 0 0 0 1
"1367" "59" "1554" 0 0 0 1 0
"1387" "60" "375" 0 0 1 0 0
"1425" "61" "1356" 0 0 0 0 1
"1435" "62" "204" 0 1 0 0 0
"1437" "62" "260" 0 0 0 1 0
"1457" "62" "921" 0 0 0 0 1
"1471" "62" "1676" 0 0 0 0 1
"1504" "63" "1879" 0 0 1 0 0
"1505" "63" "2075" 0 0 1 0 0
"1510" "64" "152" 1 0 0 0 0
"1522" "64" "646" 0 0 1 0 0
"1525" "64" "802" 0 1 0 0 0
"1529" "64" "946" 0 0 0 0 1
"1549" "65" "426" 0 0 0 0 1
"1557" "65" "1302" 0 0 0 0 1
"1560" "65" "1521" 0 0 0 0 1
"1576" "66" "502" 1 0 0 0 0
"1599" "67" "139" 1 0 0 0 0
"1605" "67" "563" 0 1 0 0 0
"1611" "67" "787" 0 1 0 0 0
"1635" "67" "1791" 0 0 1 0 0
"1682" "71" "137" 0 0 0 1 0
"1730" "71" "1984" 1 0 0 0 0
"1736" "72" "204" 0 0 1 0 0
"1782" "72" "1744" 0 0 0 0 1
"1798" "73" "612" 0 1 0 0 0
"1859" "75" "881" 0 0 0 0 1
"1866" "75" "1207" 0 0 0 0 1
"1908" "76" "1784" 0 0 0 1 0
"1917" "77" "612" 0 0 1 0 0
"1924" "77" "1263" 0 0 0 1 0
"1936" "78" "67" 0 0 0 1 0
"2016" "79" "1736" 0 0 0 0 1
"2037" "80" "630" 0 0 0 0 1
"2041" "80" "897" 0 0 0 0 1
"2064" "80" "1940" 1 0 0 0 0
"2098" "82" "621" 0 0 0 0 1
"2125" "83" "1068" 0 0 1 0 0
"2133" "83" "1797" 0 0 0 1 0
"2145" "84" "489" 0 1 0 0 0
"2158" "84" "1699" 0 0 0 1 0
"2172" "85" "719" 0 0 1 0 0
"2180" "85" "1696" 0 0 1 0 0
"2202" "86" "828" 0 0 1 0 0
"2241" "87" "621" 0 0 0 1 0
"2288" "89" "1755" 0 0 0 1 0
"2297" "90" "536" 0 0 0 1 0
"2315" "91" "934" 0 0 0 0 1
"2327" "92" "335" 0 0 0 0 1
"2331" "92" "1015" 0 0 0 1 0
