"userID" "itemID" "r1" "r2" "r3" "r4" "r5"
"1174" "53" "1263" 0 0 0 0 1
"3421" "137" "693" 0 0 1 0 0
"2631" "106" "802" 0 0 1 0 0
"4180" "159" "900" 0 0 0 1 0
"4332" "166" "67" 0 1 0 0 0
"7692" "283" "873" 0 0 0 1 0
"7362" "273" "1115" 0 0 0 0 1
"4474" "170" "1017" 0 1 0 0 0
"2311" "91" "385" 0 0 0 0 1
"2520" "101" "624" 0 0 0 1 0
"7880" "290" "1123" 0 0 0 1 0
"627" "41" "1241" 0 0 1 0 0
"5773" "211" "854" 0 0 0 0 1
"5900" "214" "1241" 0 0 1 0 0
"4590" "172" "1861" 0 0 0 0 1
"7117" "262" "361" 0 0 0 1 0
"6287" "227" "1816" 0 0 0 0 1
"1852" "75" "587" 0 0 0 1 0
"7226" "266" "1500" 0 0 1 0 0
"5692" "207" "1780" 1 0 0 0 0
"9209" "345" "1705" 0 1 0 0 0
"1979" "79" "230" 0 0 0 1 0
"6233" "226" "1247" 1 0 0 0 0
"8716" "328" "979" 0 0 0 1 0
"8960" "337" "6" 0 0 0 1 0
"4065" "155" "358" 0 0 1 0 0
"8353" "311" "1314" 0 0 0 1 0
"4210" "159" "1920" 0 0 0 1 0
"6256" "227" "252" 0 0 0 1 0
"9134" "343" "609" 0 0 1 0 0
"7962" "294" "420" 0 0 1 0 0
"8711" "328" "688" 0 0 0 1 0
"5373" "197" "1106" 1 0 0 0 0
"4010" "154" "147" 0 0 1 0 0
"73" "10" "1000" 0 0 1 0 0
"5604" "204" "1771" 1 0 0 0 0
"1752" "72" "702" 0 0 1 0 0
"2652" "106" "1904" 0 0 1 0 0
"12" "3" "444" 0 0 0 1 0
"5177" "193" "363" 0 1 0 0 0
"8912" "335" "624" 0 0 0 1 0
"6774" "246" "1158" 1 0 0 0 0
"5720" "208" "2100" 0 1 0 0 0
"1594" "66" "1817" 0 0 0 1 0
"6920" "253" "240" 0 0 0 0 1
"6809" "247" "1274" 0 0 0 1 0
"1062" "50" "1887" 0 0 0 1 0
"1544" "65" "82" 0 0 0 1 0
"7587" "279" "1722" 0 0 0 0 1
"3537" "141" "1185" 1 0 0 0 0
"6752" "245" "1788" 0 0 0 0 1
"8795" "331" "56" 0 0 0 0 1
"9115" "342" "494" 0 0 0 0 1
"5356" "196" "1736" 0 0 1 0 0
"1889" "76" "624" 0 0 0 0 1
"4961" "183" "2102" 0 1 0 0 0
"6052" "219" "664" 0 0 0 1 0
"1129" "52" "61" 0 0 0 1 0
"7687" "283" "624" 0 0 1 0 0
"6212" "225" "2055" 0 0 0 0 1
"3253" "131" "939" 0 0 1 0 0
"501" "37" "139" 0 0 1 0 0
"1337" "59" "682" 0 0 0 0 1
"607" "41" "137" 0 0 1 0 0
"1598" "67" "55" 0 1 0 0 0
"4437" "168" "1843" 0 0 0 1 0
"8179" "302" "1736" 0 0 1 0 0
"5844" "212" "2032" 0 0 1 0 0
"2818" "115" "14" 0 0 0 0 1
"7212" "265" "1866" 0 0 0 1 0
"3490" "139" "1984" 0 0 0 0 1
"3611" "144" "1029" 0 0 1 0 0
"3127" "128" "2099" 0 0 0 1 0
"6932" "253" "944" 0 0 0 0 1
"1906" "76" "1688" 0 0 1 0 0
"8298" "310" "347" 0 0 1 0 0
"5389" "198" "1015" 0 0 1 0 0
"8423" "315" "214" 1 0 0 0 0
"6171" "225" "354" 0 1 0 0 0
"6428" "235" "916" 1 0 0 0 0
"8686" "327" "1666" 0 0 1 0 0
"340" "33" "827" 0 0 0 0 1
"779" "44" "1521" 0 0 0 0 1
"7490" "276" "918" 0 0 0 1 0
"9799" "370" "827" 0 0 1 0 0
"1691" "71" "488" 0 0 1 0 0
"6801" "247" "989" 1 0 0 0 0
"2245" "87" "1355" 0 1 0 0 0
"5449" "200" "1632" 0 1 0 0 0
"74" "10" "1790" 0 0 0 0 1
"7112" "262" "67" 0 0 0 0 1
"6785" "246" "2085" 0 0 1 0 0
"56" "9" "1002" 0 0 0 0 1
"6577" "240" "1276" 1 0 0 0 0
"1686" "71" "206" 0 0 1 0 0
"5008" "186" "1192" 0 0 0 0 1
"7577" "279" "1049" 0 0 1 0 0
"8156" "302" "19" 0 0 0 1 0
"8015" "295" "1284" 0 0 1 0 0
"4423" "168" "554" 0 0 0 1 0
"1631" "67" "1687" 0 0 1 0 0
"5083" "190" "722" 0 0 0 1 0
"8719" "328" "1172" 0 1 0 0 0
"7074" "258" "2061" 0 1 0 0 0
"3567" "142" "550" 0 0 0 0 1
"238" "30" "958" 0 0 1 0 0
"8050" "296" "1749" 0 0 0 1 0
"1219" "55" "672" 0 0 0 1 0
"2974" "122" "436" 0 0 0 0 1
"7768" "285" "1790" 0 0 0 0 1
"696" "43" "584" 1 0 0 0 0
"2092" "82" "65" 0 0 1 0 0
"9774" "369" "1119" 0 0 0 1 0
"4600" "173" "944" 1 0 0 0 0
"4811" "179" "1186" 0 0 0 0 1
"2498" "100" "1568" 0 0 0 0 1
"4844" "180" "354" 0 0 0 1 0
"277" "31" "2075" 0 0 1 0 0
"9908" "372" "1920" 0 0 1 0 0
"3521" "141" "230" 0 0 0 0 1
"4042" "154" "1513" 0 0 0 1 0
"3406" "137" "24" 0 1 0 0 0
"7626" "281" "228" 0 0 0 0 1
"4568" "172" "1027" 0 1 0 0 0
"8590" "323" "1587" 1 0 0 0 0
"3502" "140" "1180" 0 0 0 0 1
"5069" "189" "1784" 0 0 0 0 1
"2571" "103" "555" 0 1 0 0 0
"1975" "79" "137" 0 0 0 1 0
"9037" "338" "1666" 0 0 0 0 1
"4088" "155" "1255" 0 0 0 0 1
"3578" "142" "1603" 0 0 0 0 1
"6593" "241" "442" 0 0 0 1 0
"7159" "264" "275" 0 0 1 0 0
"4668" "175" "1781" 1 0 0 0 0
"1275" "56" "1554" 1 0 0 0 0
"2679" "108" "1659" 1 0 0 0 0
"7475" "275" "1780" 0 0 1 0 0
"2076" "81" "772" 1 0 0 0 0
"1768" "72" "1173" 0 0 0 1 0
"9019" "337" "1791" 0 0 1 0 0
"7771" "285" "2032" 0 0 0 1 0
"7887" "290" "1784" 0 0 1 0 0
"9682" "365" "1353" 0 0 1 0 0
"160" "22" "735" 0 0 0 1 0
"5194" "193" "827" 0 0 0 0 1
"5732" "209" "1349" 0 0 1 0 0
"4882" "181" "65" 0 1 0 0 0
"8541" "321" "296" 0 0 0 1 0
"6625" "242" "45" 0 0 0 0 1
"153" "22" "436" 0 0 1 0 0
"9380" "349" "1627" 1 0 0 0 0
"5289" "195" "1027" 0 0 0 1 0
"1445" "62" "593" 0 0 0 1 0
"9043" "339" "61" 0 0 0 1 0
"979" "49" "702" 0 0 0 1 0
"4295" "163" "946" 0 0 0 1 0
"3793" "149" "615" 0 0 0 1 0
"8278" "308" "1917" 0 0 0 0 1
"1487" "63" "69" 0 0 0 0 1
"5340" "196" "979" 0 0 0 0 1
"2856" "115" "1668" 0 0 0 1 0
"7835" "288" "1784" 0 1 0 0 0
"2547" "102" "555" 0 0 1 0 0
"3766" "148" "1554" 0 0 0 1 0
"2197" "86" "591" 1 0 0 0 0
"4394" "167" "717" 0 1 0 0 0
"8183" "303" "96" 0 0 0 1 0
"2293" "90" "125" 0 0 0 1 0
"8161" "302" "297" 0 0 0 0 1
"7898" "291" "944" 0 0 0 0 1
"5141" "192" "314" 0 0 1 0 0
"6811" "247" "1316" 0 0 1 0 0
