"userID" "itemID" "r1" "r2" "r3" "r4" "r5"
"15" "3" "696" 0 1 0 0 0
"33" "6" "37" 0 0 1 0 0
"36" "6" "854" 0 0 0 0 1
"58" "9" "1189" 0 0 0 0 1
"65" "10" "435" 0 0 0 1 0
"87" "13" "624" 0 0 0 1 0
"92" "13" "1568" 0 0 1 0 0
"132" "18" "763" 0 0 1 0 0
"155" "22" "602" 0 0 0 1 0
"160" "22" "735" 0 0 0 1 0
"161" "22" "742" 0 0 0 0 1
"191" "24" "2036" 0 1 0 0 0
"231" "29" "2114" 0 0 0 0 1
"232" "30" "275" 0 0 0 1 0
"253" "31" "281" 0 1 0 0 0
"292" "32" "1263" 0 0 0 1 0
"329" "33" "563" 0 0 1 0 0
"331" "33" "602" 0 0 1 0 0
"358" "33" "1284" 0 0 0 0 1
"390" "34" "438" 0 0 1 0 0
"438" "35" "1910" 0 0 0 1 0
"454" "36" "349" 0 0 1 0 0
"482" "36" "1576" 0 0 0 1 0
"487" "36" "1782" 0 0 0 0 1
"489" "36" "1844" 0 1 0 0 0
"494" "36" "1978" 0 0 1 0 0
"501" "37" "139" 0 0 1 0 0
"533" "37" "1471" 0 0 0 0 1
"536" "37" "1597" 0 0 0 1 0
"561" "38" "638" 0 0 1 0 0
"580" "39" "505" 0 0 0 0 1
"590" "40" "314" 0 0 0 1 0
"607" "41" "137" 0 0 1 0 0
"634" "41" "1594" 0 1 0 0 0
"639" "41" "1808" 0 0 0 0 1
"676" "42" "2085" 0 0 1 0 0
"685" "43" "195" 1 0 0 0 0
"709" "43" "1266" 0 0 1 0 0
"727" "43" "1736" 0 1 0 0 0
"786" "44" "1841" 0 0 1 0 0
"801" "45" "436" 0 0 0 0 1
"802" "45" "446" 0 0 0 0 1
"820" "45" "1173" 0 1 0 0 0
"837" "45" "1668" 0 0 1 0 0
"895" "47" "855" 0 0 1 0 0
"904" "47" "1262" 0 0 1 0 0
"911" "47" "1579" 0 0 1 0 0
"917" "47" "1850" 0 0 0 1 0
"921" "47" "1982" 0 0 0 0 1
"928" "48" "132" 0 0 0 1 0
"940" "48" "732" 0 0 0 1 0
"985" "49" "979" 0 0 0 0 1
"1003" "49" "1861" 0 0 0 1 0
"1004" "49" "1904" 0 0 0 1 0
"1006" "49" "1952" 0 0 0 0 1
"1009" "50" "14" 0 0 0 1 0
"1032" "50" "838" 0 0 1 0 0
"1141" "52" "1382" 0 0 0 1 0
"1144" "52" "1655" 0 0 1 0 0
"1172" "53" "1207" 0 0 0 1 0
"1191" "54" "687" 1 0 0 0 0
"1238" "55" "1685" 0 0 0 1 0
"1250" "56" "52" 0 1 0 0 0
"1277" "56" "1607" 0 1 0 0 0
"1298" "57" "1424" 1 0 0 0 0
"1303" "57" "1945" 1 0 0 0 0
"1330" "59" "465" 0 1 0 0 0
"1350" "59" "964" 0 0 1 0 0
"1443" "62" "393" 1 0 0 0 0
"1547" "65" "197" 0 0 0 1 0
"1585" "66" "1056" 0 0 0 0 1
"1592" "66" "1763" 1 0 0 0 0
"1604" "67" "367" 1 0 0 0 0
"1623" "67" "1287" 0 1 0 0 0
"1625" "67" "1456" 0 0 0 1 0
"1640" "67" "1931" 1 0 0 0 0
"1645" "68" "621" 1 0 0 0 0
