"userID" "itemID" "r1" "r2" "r3" "r4" "r5"
"NA.10576" NA NA NA NA NA NA NA
"34540" "1405" "240" 0 0 0 0 1
"4818" "179" "1594" 0 0 0 1 0
"41585" "1687" "1059" 1 0 0 0 0
"60082" "2429" "1757" 0 0 0 0 1
"25249" "1024" "899" 0 0 0 0 1
"NA.22335" NA NA NA NA NA NA NA
"NA.22429" NA NA NA NA NA NA NA
"17325" "686" "1504" 0 1 0 0 0
"47811" "1924" "1747" 0 0 0 1 0
"914" "47" "1725" 0 0 1 0 0
"37876" "1541" "1557" 0 1 0 0 0
"56173" "2263" "1780" 0 1 0 0 0
"NA.20524" NA NA NA NA NA NA NA
"57122" "2304" "1080" 0 0 0 1 0
"NA.7528" NA NA NA NA NA NA NA
"NA.6119" NA NA NA NA NA NA NA
"28056" "1144" "1384" 0 0 0 0 1
"10213" "388" "442" 0 0 0 0 1
"48475" "1954" "925" 0 0 0 0 1
"136" "19" "1881" 0 1 0 0 0
"NA.6319" NA NA NA NA NA NA NA
"NA.16520" NA NA NA NA NA NA NA
"26589" "1082" "240" 1 0 0 0 0
"NA.10256" NA NA NA NA NA NA NA
"NA.10755" NA NA NA NA NA NA NA
"NA.6247" NA NA NA NA NA NA NA
"NA.2126" NA NA NA NA NA NA NA
"NA.13951" NA NA NA NA NA NA NA
"31224" "1272" "203" 0 1 0 0 0
"48028" "1935" "621" 1 0 0 0 0
"50326" "2023" "1780" 0 1 0 0 0
"25327" "1029" "446" 0 0 1 0 0
"54435" "2188" "321" 0 0 1 0 0
"30379" "1230" "2121" 0 0 0 1 0
"71970" "2922" "1819" 0 0 0 0 1
"NA.7714" NA NA NA NA NA NA NA
"70464" "2868" "1542" 0 0 0 1 0
"41700" "1694" "102" 1 0 0 0 0
"14024" "543" "849" 0 1 0 0 0
"NA.11988" NA NA NA NA NA NA NA
"51049" "2050" "1808" 0 1 0 0 0
"53417" "2144" "1784" 0 0 1 0 0
"64906" "2632" "1676" 0 0 0 1 0
"NA.5549" NA NA NA NA NA NA NA
"43935" "1778" "971" 1 0 0 0 0
"70944" "2886" "855" 1 0 0 0 0
"NA.18475" NA NA NA NA NA NA NA
"47830" "1926" "603" 0 0 1 0 0
"11862" "458" "446" 0 0 1 0 0
"61945" "2507" "1802" 0 0 1 0 0
"18030" "713" "1817" 0 1 0 0 0
"NA.26388" NA NA NA NA NA NA NA
"71891" "2919" "592" 0 0 0 1 0
"14724" "577" "1763" 0 0 0 1 0
"41" "7" "588" 0 0 0 0 1
"72288" "2931" "1952" 0 0 0 1 0
"22461" "907" "1369" 0 0 0 0 1
"8041" "296" "862" 0 0 1 0 0
"13493" "518" "714" 0 1 0 0 0
"4235" "160" "888" 0 0 0 0 1
"13011" "499" "827" 0 0 0 0 1
"47936" "1932" "1817" 1 0 0 0 0
"65337" "2653" "1466" 0 0 1 0 0
"38994" "1585" "25" 0 0 0 0 1
"29795" "1209" "260" 0 0 0 1 0
"NA.2135" NA NA NA NA NA NA NA
"NA.16300" NA NA NA NA NA NA NA
"68286" "2781" "1487" 0 0 1 0 0
"34990" "1421" "193" 0 0 0 1 0
"1992" "79" "883" 0 0 0 0 1
"31757" "1294" "827" 0 0 0 1 0
"47870" "1928" "1411" 0 0 0 1 0
"NA.18095" NA NA NA NA NA NA NA
"NA.22263" NA NA NA NA NA NA NA
"58852" "2380" "1203" 0 1 0 0 0
"39135" "1593" "1840" 0 1 0 0 0
"4908" "182" "888" 0 0 0 1 0
"46818" "1887" "587" 0 0 1 0 0
"58785" "2378" "1355" 0 0 1 0 0
"42366" "1720" "2085" 0 0 0 1 0
"NA.15854" NA NA NA NA NA NA NA
"71709" "2909" "1587" 0 0 1 0 0
"NA.25569" NA NA NA NA NA NA NA
"41258" "1672" "1534" 0 0 1 0 0
"42542" "1729" "1186" 0 0 0 0 1
"NA.11974" NA NA NA NA NA NA NA
"13561" "521" "352" 0 0 0 1 0
"52175" "2093" "1887" 0 0 1 0 0
"NA.11864" NA NA NA NA NA NA NA
"13981" "541" "474" 0 0 0 1 0
"5710" "208" "1066" 0 0 0 1 0
"48553" "1958" "158" 0 0 0 1 0
"24922" "1011" "877" 0 0 0 1 0
"43370" "1757" "563" 0 0 0 0 1
"50655" "2038" "297" 0 0 0 0 1
"67983" "2769" "977" 1 0 0 0 0
"49550" "1994" "25" 0 1 0 0 0
"71063" "2889" "1594" 0 0 1 0 0
"NA.13961" NA NA NA NA NA NA NA
"73133" "2964" "544" 0 0 1 0 0
"19039" "767" "538" 0 1 0 0 0
"46778" "1884" "2034" 0 0 1 0 0
"16155" "643" "1722" 0 0 1 0 0
"54191" "2177" "1867" 0 0 1 0 0
"NA.22050" NA NA NA NA NA NA NA
"NA.3296" NA NA NA NA NA NA NA
"15077" "590" "1819" 0 0 1 0 0
"69435" "2829" "1919" 0 0 0 0 1
"NA.25097" NA NA NA NA NA NA NA
"63444" "2568" "2063" 0 0 0 0 1
"68371" "2784" "446" 0 0 0 1 0
"34988" "1420" "1919" 0 0 1 0 0
"NA.13166" NA NA NA NA NA NA NA
"19538" "787" "844" 0 0 1 0 0
"43854" "1775" "1191" 0 0 0 1 0
"NA.18198" NA NA NA NA NA NA NA
"63962" "2594" "1510" 0 0 0 0 1
"NA.13073" NA NA NA NA NA NA NA
"31256" "1273" "551" 1 0 0 0 0
"8497" "318" "1500" 0 0 0 0 1
"55369" "2229" "2070" 0 0 0 0 1
"NA.13723" NA NA NA NA NA NA NA
"12037" "464" "622" 1 0 0 0 0
"57395" "2316" "1155" 0 0 1 0 0
"NA.21221" NA NA NA NA NA NA NA
"23021" "930" "866" 1 0 0 0 0
"956" "48" "1375" 0 0 0 0 1
"14531" "569" "446" 0 0 0 1 0
"11013" "419" "1718" 0 0 0 0 1
"70574" "2872" "603" 0 0 0 1 0
"31014" "1263" "1172" 0 0 0 1 0
"28852" "1176" "1686" 0 0 1 0 0
"70243" "2863" "132" 0 0 0 1 0
"10192" "386" "1513" 0 0 0 0 1
"NA.24602" NA NA NA NA NA NA NA
"53424" "2145" "260" 0 0 0 1 0
"NA.19591" NA NA NA NA NA NA NA
"72208" "2930" "196" 0 1 0 0 0
"NA.11412" NA NA NA NA NA NA NA
"67193" "2733" "787" 0 1 0 0 0
"36963" "1503" "930" 0 0 0 1 0
"14971" "588" "468" 0 0 0 1 0
"71286" "2897" "939" 0 0 1 0 0
"64181" "2607" "297" 0 1 0 0 0
"9064" "340" "551" 0 0 1 0 0
"20707" "835" "1988" 0 1 0 0 0
"32955" "1344" "329" 0 1 0 0 0
"60119" "2432" "732" 0 0 0 0 1
"NA.22401" NA NA NA NA NA NA NA
"53761" "2161" "544" 0 0 0 0 1
"65957" "2685" "1672" 0 0 0 1 0
"24831" "1009" "27" 1 0 0 0 0
"30985" "1262" "1438" 0 0 1 0 0
"44732" "1804" "864" 1 0 0 0 0
"3020" "124" "1012" 0 0 0 0 1
"27821" "1134" "540" 0 1 0 0 0
"898" "47" "911" 0 0 0 1 0
"120" "15" "2052" 0 0 1 0 0
"68791" "2798" "1534" 0 0 0 1 0
"NA.11280" NA NA NA NA NA NA NA
"12610" "485" "659" 0 0 0 0 1
"13298" "510" "494" 0 1 0 0 0
"70914" "2884" "1784" 0 0 1 0 0
"61490" "2490" "2079" 1 0 0 0 0
"32649" "1331" "1755" 0 0 0 0 1
"17138" "678" "1722" 0 0 0 1 0
"12281" "475" "67" 0 0 0 0 1
"66760" "2716" "1123" 0 0 0 1 0
"14851" "582" "1591" 0 0 1 0 0
"37893" "1542" "1842" 0 1 0 0 0
"56248" "2265" "2096" 0 0 0 1 0
"NA.25080" NA NA NA NA NA NA NA
"28210" "1150" "1267" 0 0 1 0 0
"72722" "2949" "1610" 0 0 1 0 0
"NA.13416" NA NA NA NA NA NA NA
"1075" "51" "296" 0 0 1 0 0
"40906" "1659" "458" 0 0 1 0 0
"48357" "1948" "1866" 0 0 0 0 1
"NA.2497" NA NA NA NA NA NA NA
"27139" "1106" "540" 0 1 0 0 0
"NA.21861" NA NA NA NA NA NA NA
"34590" "1406" "1594" 0 0 1 0 0
"69408" "2827" "575" 0 0 0 1 0
"4065" "155" "358" 0 0 1 0 0
"11342" "434" "1321" 0 0 0 0 1
"NA.21118" NA NA NA NA NA NA NA
"NA.970" NA NA NA NA NA NA NA
"46700" "1881" "1998" 0 0 0 0 1
"21175" "857" "857" 0 0 0 1 0
"27570" "1127" "358" 1 0 0 0 0
"NA.5811" NA NA NA NA NA NA NA
"NA.2808" NA NA NA NA NA NA NA
"NA.20068" NA NA NA NA NA NA NA
"49666" "1999" "297" 1 0 0 0 0
"69611" "2840" "1357" 0 0 0 1 0
"NA.8360" NA NA NA NA NA NA NA
"17182" "680" "56" 0 0 0 1 0
"45438" "1833" "845" 1 0 0 0 0
"NA.4872" NA NA NA NA NA NA NA
"5715" "208" "1688" 0 0 1 0 0
"45148" "1821" "1819" 0 1 0 0 0
"NA.17994" NA NA NA NA NA NA NA
"9928" "374" "102" 0 1 0 0 0
"47357" "1907" "1504" 1 0 0 0 0
"NA.9967" NA NA NA NA NA NA NA
"NA.6062" NA NA NA NA NA NA NA
"29697" "1206" "1925" 0 0 0 1 0
"NA.1704" NA NA NA NA NA NA NA
"9124" "342" "1566" 0 0 0 1 0
"52061" "2089" "57" 0 0 1 0 0
"53568" "2151" "849" 0 1 0 0 0
"20153" "814" "1844" 0 0 0 1 0
"5965" "216" "420" 0 0 0 1 0
"30553" "1238" "1219" 0 1 0 0 0
"66584" "2710" "2008" 0 1 0 0 0
"60904" "2470" "115" 0 0 1 0 0
"68065" "2772" "1049" 0 0 1 0 0
"2685" "108" "2098" 1 0 0 0 0
"66632" "2712" "1356" 0 0 1 0 0
"61529" "2492" "1482" 1 0 0 0 0
"36771" "1496" "659" 1 0 0 0 0
"36066" "1465" "281" 0 0 0 0 1
"52394" "2103" "1171" 0 1 0 0 0
"48029" "1935" "638" 0 0 1 0 0
"57441" "2319" "1564" 0 0 1 0 0
"29572" "1202" "1244" 0 0 0 1 0
"NA.13173" NA NA NA NA NA NA NA
"NA.21838" NA NA NA NA NA NA NA
"18601" "743" "1780" 0 1 0 0 0
"1827" "74" "600" 0 1 0 0 0
"50169" "2016" "1687" 0 0 1 0 0
"NA.16858" NA NA NA NA NA NA NA
"5908" "214" "1736" 0 0 0 0 1
"56719" "2286" "544" 0 0 0 0 1
"47748" "1923" "860" 0 1 0 0 0
"37425" "1522" "1321" 1 0 0 0 0
"14662" "575" "1173" 0 0 0 1 0
"30178" "1222" "1314" 0 0 0 0 1
"NA.19599" NA NA NA NA NA NA NA
"56351" "2271" "722" 1 0 0 0 0
"14836" "582" "875" 1 0 0 0 0
"NA.6394" NA NA NA NA NA NA NA
"24023" "970" "275" 0 0 0 1 0
"5003" "186" "409" 0 1 0 0 0
"46547" "1876" "260" 0 0 1 0 0
"NA.9406" NA NA NA NA NA NA NA
"NA.8505" NA NA NA NA NA NA NA
"300" "32" "1686" 0 0 0 0 1
"18269" "726" "1749" 0 0 1 0 0
"NA.21209" NA NA NA NA NA NA NA
"29929" "1215" "296" 0 1 0 0 0
"40394" "1636" "989" 0 0 0 0 1
"65625" "2670" "583" 0 0 0 1 0
"67022" "2728" "1080" 0 0 0 1 0
"19546" "787" "1575" 0 0 0 1 0
"48945" "1971" "1881" 0 0 1 0 0
"15755" "622" "1059" 0 0 0 0 1
